Trimestre,Año,Delegación,Reclamos
1,2023,Buenos Aires,1027
1,2023,Capital Federal,2508
1,2023,Catamarca,54
1,2023,Chaco,128
1,2023,Chubut,49
1,2023,Corrientes,151
1,2023,Córdoba,585
1,2023,Entre Ríos,280
1,2023,Formosa,39
1,2023,Jujuy,27
1,2023,La Pampa,5
1,2023,La Rioja,60
1,2023,Mendoza,175
1,2023,Misiones,94
1,2023,Neuquén,143
1,2023,Río Negro,108
1,2023,Salta,72
1,2023,San Juan,152
1,2023,San Luis,33
1,2023,Santa Cruz,11
1,2023,Santa Fe,1032
1,2023,Santiago del Estero,53
1,2023,Tierra del Fuego,63
1,2023,Tucumán,117
2,2023,Buenos Aires,767
2,2023,Capital Federal,1658
2,2023,Catamarca,44
2,2023,Chaco,111
2,2023,Chubut,45
2,2023,Corrientes,109
2,2023,Córdoba,425
2,2023,Entre Ríos,176
2,2023,Formosa,52
2,2023,Jujuy,35
2,2023,La Pampa,14
2,2023,La Rioja,27
2,2023,Mendoza,96
2,2023,Misiones,49
2,2023,Neuquén,111
2,2023,Río Negro,142
2,2023,Salta,44
2,2023,San Juan,51
2,2023,San Luis,14
2,2023,Santa Cruz,7
2,2023,Santa Fe,633
2,2023,Santiago del Estero,27
2,2023,Tierra del Fuego,39
2,2023,Tucumán,80
3,2023,Buenos Aires,728
3,2023,Capital Federal,1555
3,2023,Catamarca,11
3,2023,Chaco,93
3,2023,Chubut,64
3,2023,Corrientes,81
3,2023,Córdoba,328
3,2023,Entre Ríos,155
3,2023,Formosa,49
3,2023,Jujuy,20
3,2023,La Pampa,6
3,2023,La Rioja,28
3,2023,Mendoza,108
3,2023,Misiones,41
3,2023,Neuquén,81
3,2023,Río Negro,143
3,2023,Salta,33
3,2023,San Juan,52
3,2023,San Luis,14
3,2023,Santa Cruz,5
3,2023,Santa Fe,437
3,2023,Santiago del Estero,18
3,2023,Tierra del Fuego,32
3,2023,Tucumán,152
