Delegación,1,2,3
Buenos Aires,,-25.31645569620253,-5.0847457627118615
Capital Federal,,-33.89154704944178,-6.212303980699641
Catamarca,,-18.518518518518523,-75.0
Chaco,,-13.28125,-16.216216216216218
Chubut,,-8.163265306122447,42.22222222222223
Corrientes,,-27.81456953642384,-25.688073394495415
Córdoba,,-27.350427350427353,-22.82352941176471
Entre Ríos,,-37.142857142857146,-11.931818181818176
Formosa,,33.33333333333333,-5.769230769230771
Jujuy,,29.629629629629626,-42.85714285714286
La Pampa,,179.99999999999997,-57.14285714285714
La Rioja,,-55.00000000000001,3.703703703703698
Mendoza,,-45.14285714285714,12.5
Misiones,,-47.87234042553191,-16.326530612244895
Neuquén,,-22.377622377622373,-27.027027027027028
Río Negro,,31.481481481481488,0.7042253521126751
Salta,,-38.888888888888886,-25.0
San Juan,,-66.44736842105263,1.9607843137254832
San Luis,,-57.57575757575757,0.0
Santa Cruz,,-36.36363636363637,-28.57142857142857
Santa Fe,,-38.662790697674424,-30.963665086887836
Santiago del Estero,,-49.056603773584904,-33.333333333333336
Tierra del Fuego,,-38.095238095238095,-17.948717948717952
Tucumán,,-31.62393162393162,89.99999999999999
