Año,Trimestre,Accesos por cada 100 hab,Ingresos (miles de $),Número de SMS salientes,Total de llamadas salientes (miles),Total de accesos operativos
2022,4,128.65,204796575,773515610.0,5026324.729,59703927
2022,3,127.98,180356862,803389256.0,5389345.729,59258871
2022,2,127.95,153032313,789033575.0,5474624.729,59111192
2022,1,128.37,130454676,909954575.0,5339205.98,59168910
2021,4,128.44,127389786,929840583.0,5935851.582,59065827
2021,3,126.01,117751925,1109243724.0,5560488.463,57812509
2021,2,124.26,104782020,748701689.0,5427525.764,56875562
2021,1,123.62,93112153,1061013967.0,5585383.163999999,56453033
2020,4,120.21,83479114,1162624348.0,6007147.805000001,54763900
2020,3,120.18,79634755,1887885018.0,6256823.481,54619886
2020,2,121.71,73538944,1941261096.0,6035390.481,55050723
2020,1,123.81,72077147,1957599508.0,6583591.481,55612810
2019,4,124.89,65388842,2175994230.0,7601121.234999999,55930914
2019,3,128.68,60905891,2949922014.0,7254864.434,56275726
2019,2,128.91,55338816,2827445823.0,7713768.829,57596091
2019,1,131.17,50246691,2979265948.0,7560513.208,58606442
2018,4,131.15,44026803,3697690058.0,8240697.0,58598041
2018,3,132.02,43280089,3939633281.0,7699720.0,58841136
2018,2,133.76,40653502,4447456352.0,7615161.0,59466393
2018,1,136.59,38733946,4402925087.0,7268982.0,60571796
2017,4,139.94,38110028,5261403776.0,8402341.0,61897379
2017,3,141.05,35711689,5784899010.0,8214493.0,62230809
2017,2,142.81,33509264,6313944821.0,8184400.0,62898758
2017,1,143.59,31205565,6595759974.0,8221089.0,63026122
2016,4,145.55,30143233,7269739541.0,9266707.0,63719805
2016,3,145.6,27416177,7610368636.0,9110796.0,63579339
2016,2,142.64,25353971,8390644680.0,8995948.0,62122521
2016,1,141.55,24763052,9525079422.0,8894429.0,61486761
2015,4,142.75,24881967,10588029213.0,9815691.0,61842011
2015,3,140.56,21785238,11650531080.0,9379434.0,60732511
2015,2,138.94,19945453,12732243852.0,8693592.0,59875466
2015,1,140.12,19337342,14254061889.0,8172656.0,60221863
2014,4,142.6,20012332,12287624401.0,9606550.0,61120835
2014,3,143.44,18976053,14201444366.0,9032801.0,61316467
2014,2,143.0,17680972,15877208560.0,8315290.0,60963640
2014,1,148.07,15938353,18393198881.0,7590580.0,62949571
2013,4,159.37,16218846,22547130953.0,8650667.0,67569032
2013,3,158.59,15235659,33217669903.0,8281653.0,67051092
2013,2,156.0,13970806,34255065773.0,7856258.0,65773932
2013,1,154.37,13135235,36430004057.0,7209313.0,64908957
